Time [s], Analyzer Name, Decoded Protocol Result
0.000000000000000,Async Serial,'234'
0.000086375000000,Async Serial,'255'
0.000172750000000,Async Serial,'254'
0.000259083333333,Async Serial,'187'
0.000345500000000,Async Serial,U
2.000742958333333,Async Serial,'235'
2.000829333333333,Async Serial,'1'
2.000915666666667,Async Serial,'255'
2.001002041666667,Async Serial,'235'
2.001088416666667,Async Serial,u
4.001661625000000,Async Serial,'171'
4.001747958333334,Async Serial,'241'
4.001834333333333,Async Serial,'0'
4.001920666666667,Async Serial,'171'
4.002007041666666,Async Serial,'253'
6.002845916666667,Async Serial,'255'
6.002932291666666,Async Serial,'255'
6.003018666666667,Async Serial,'255'
6.003105000000000,Async Serial,'187'
6.003191375000000,Async Serial,U
8.004039208333333,Async Serial,'170'
8.004125583333334,Async Serial,'253'
8.004211958333334,Async Serial,'254'
8.004298374999999,Async Serial,'251'
8.004384750000000,Async Serial,'213'
